10.1.1.132.8968 WOS:000238427400003
10.1.1.597.9195 WOS:000255285500055
10.1.1.968.4950 WOS:A1996WA78000001
10.1.1.73.1676 WOS:000230653600006
10.1.1.1020.649 WOS:000255313900002
10.1.1.887.2624 WOS:000276553000005
10.1.1.648.1638 WOS:000237908400003
10.1.1.108.144 WOS:000237908400003
10.1.1.476.1252 WOS:A1992LE88400005
10.1.1.161.2865 WOS:000260587400002
10.1.1.390.3646 WOS:000208539300008
10.1.1.19.7200 WOS:A1977DY48800004
10.1.1.486.3355 WOS:000261012900003
10.1.1.818.7354 WOS:000243060300018
10.1.1.95.8548 WOS:000243060300018
10.1.1.700.968 WOS:000287244200004
10.1.1.139.3267 WOS:000265089500011
10.1.1.409.2921 WOS:000265089500011
10.1.1.415.2038 WOS:000189414700002
10.1.1.45.4071 WOS:000086630300045
10.1.1.33.2484 WOS:000071063300006
10.1.1.59.3006 WOS:000233067600071
10.1.1.703.443 WOS:000295738500031
10.1.1.736.8610 WOS:000265227200006
10.1.1.71.2294 WOS:000183342400005
10.1.1.94.9753 WOS:000183342400005
10.1.1.220.9174 WOS:000248914000028
10.1.1.102.864 WOS:000247484300002
10.1.1.121.3007 WOS:000234379200013
10.1.1.41.3289 WOS:A1994NF32900014
10.1.1.107.8352 WOS:A1994NF32900014
10.1.1.254.7402 WOS:000255525000001
10.1.1.117.804 WOS:A1981LC36100004
10.1.1.130.7951 WOS:000231432500006
10.1.1.48.9336 WOS:000086971100005
10.1.1.143.3304 WOS:000223806300009
10.1.1.400.9434 WOS:000323659900001
10.1.1.190.2982 WOS:000230899600021
10.1.1.128.2396 WOS:A1980KS60300006
10.1.1.149.9282 WOS:000270762600003
10.1.1.724.5890 WOS:000338714000009
10.1.1.341.8307 WOS:000227857200001
10.1.1.709.5391 WOS:000319086100003
10.1.1.644.1201 WOS:000349832900007
10.1.1.261.1789 WOS:000349832900004;WOS:000349832900007
10.1.1.148.2169 WOS:000289635000002
10.1.1.96.7604 WOS:000224583100085
10.1.1.1016.3657 WOS:000271564300023
10.1.1.161.6274 WOS:000262946600029
10.1.1.103.5495 WOS:000223762100037;WOS:000189417900062
10.1.1.58.6836 WOS:000231115800007
10.1.1.36.3269 WOS:000078759100002
10.1.1.680.1259 WOS:000268640700001
10.1.1.743.4272 WOS:000315799200002
10.1.1.106.2464 WOS:000242780800014
10.1.1.840.7974 WOS:000338109200045
10.1.1.783.6653 WOS:000338109200045
10.1.1.24.9112 WOS:000085357900004
10.1.1.578.9815 WOS:000085357900004
10.1.1.57.8177 WOS:A1990EF89500020
10.1.1.898.461 WOS:000284954700012
10.1.1.903.9574 WOS:000284954700012
10.1.1.106.2220 WOS:000233583100055
10.1.1.460.2594 WOS:000305909900003
10.1.1.371.8805 WOS:000305909900003
10.1.1.530.7593 WOS:000233332800013
10.1.1.226.4407 WOS:000180277800064
10.1.1.973.2885 WOS:000340119000031
10.1.1.1010.3532 WOS:A1987J851400004
10.1.1.3.4874 WOS:000239426500022
10.1.1.77.4428 WOS:000239426500022
10.1.1.125.5068 WOS:000224771500001
10.1.1.176.7374 WOS:000262164800010
10.1.1.103.7739 WOS:000240075100076
10.1.1.59.5609 WOS:000233404900026
10.1.1.368.1593 WOS:000233404900026
10.1.1.1034.570 WOS:000299526800002
10.1.1.16.8894 WOS:000243279700002
10.1.1.4.1373 WOS:000243279700002
10.1.1.67.2957 WOS:000243279700002
10.1.1.636.3518 WOS:000225859100003
10.1.1.341.6713 WOS:000084650600010
10.1.1.634.2345 WOS:000313731700009
10.1.1.242.5564 WOS:000184831700106
10.1.1.102.3768 WOS:000174581400016
10.1.1.103.408 WOS:000239625600016
10.1.1.193.73 WOS:000233744700046
10.1.1.29.4952 WOS:A1993MN92700003
10.1.1.488.9468 WOS:000265990800007
10.1.1.143.9641 WOS:000265990800007
10.1.1.143.7161 WOS:000265990800007
10.1.1.93.3838 WOS:000239591200003
10.1.1.760.3347 WOS:000335151900029
10.1.1.425.4897 WOS:000335151900029
10.1.1.188.3859 WOS:000335151900029
10.1.1.5.2980 WOS:000184816200033
10.1.1.409.4653 WOS:000258913300016
10.1.1.452.801 WOS:000258913300016
10.1.1.116.9728 WOS:000181194800003
10.1.1.42.6285 WOS:000086536600001
10.1.1.108.3870 WOS:000246923400006
10.1.1.186.4748 WOS:000238586300013
10.1.1.156.8427 WOS:000238586300013
10.1.1.651.2430 WOS:000331120500014
10.1.1.741.4748 WOS:000230114100100
10.1.1.132.9838 WOS:000266568100006
10.1.1.76.7752 WOS:000256622500002
10.1.1.7.3291 WOS:000187294400008
10.1.1.761.1968 WOS:000281267100018
10.1.1.300.9198 WOS:000281267100018
10.1.1.702.4266 WOS:000342913000009
10.1.1.70.1713 WOS:000223701300043
10.1.1.88.2568 WOS:000224325600004
10.1.1.10.653 WOS:000171010100015
10.1.1.228.9750 WOS:A1994NJ80100006
10.1.1.91.1851 WOS:000177630100004
10.1.1.673.5367 WOS:000302061000010
10.1.1.2.2687 WOS:A1996VC84900001
10.1.1.696.8322 WOS:000320673500024;WOS:000258262000081
10.1.1.415.4557 WOS:000306133400005
10.1.1.621.9572 WOS:000222059700006
10.1.1.414.4249 WOS:000229489000010
10.1.1.8.7434 WOS:A1992HD41900001
10.1.1.61.5282 WOS:000245388800014
10.1.1.49.2948 WOS:A1996VW60100001
10.1.1.206.2823 WOS:000298209700011
10.1.1.16.5700 WOS:000089395600006
10.1.1.97.2218 WOS:000172732000018
10.1.1.134.7351 WOS:000238052700001
10.1.1.30.5247 WOS:000078783100010
10.1.1.681.1193 WOS:000272903100006
10.1.1.673.7476 WOS:000272903100006
10.1.1.131.8309 WOS:000260276700008
10.1.1.488.2772 WOS:000260276700008
10.1.1.83.4330 WOS:000260276700008
10.1.1.474.3650 WOS:000242854400006
10.1.1.108.7975 WOS:000228553300032
10.1.1.118.23 WOS:000076991300013
10.1.1.95.6308 WOS:000222731500001
10.1.1.681.3226 WOS:000277418400012
10.1.1.40.1752 WOS:000082775100021
10.1.1.394.8551 WOS:000228883500009
10.1.1.102.6244 WOS:000233233800044
10.1.1.867.5230 WOS:000238114800042
10.1.1.106.6722 WOS:000073946200016
10.1.1.426.5232
10.1.1.817.4647
10.1.1.611.1316 WOS:A1972N063300021
10.1.1.907.8484 WOS:000176815100017
10.1.1.909.5058
10.1.1.813.8930 WOS:000336039100002
10.1.1.528.1833 WOS:000088830600051
10.1.1.697.1694 WOS:000353558600001
10.1.1.752.5117
10.1.1.62.8504
10.1.1.770.168 WOS:000326680200020
10.1.1.1034.1966
10.1.1.654.3289
10.1.1.204.4263
10.1.1.780.887 WOS:000317717300109
10.1.1.708.136
10.1.1.402.2988
10.1.1.788.8757 WOS:000355183900191
10.1.1.138.4830
10.1.1.834.7207
10.1.1.868.8432
10.1.1.390.4747
10.1.1.842.8120
10.1.1.547.4285 WOS:000079151300014
10.1.1.98.44 WOS:000221907700009
10.1.1.83.2643
10.1.1.118.8776
10.1.1.836.4760 WOS:A1984TF67400006
10.1.1.245.3240
10.1.1.919.5193
10.1.1.787.2873 WOS:000329862500120
10.1.1.462.4344
10.1.1.813.4420
10.1.1.199.964
10.1.1.614.8563
10.1.1.818.3814
10.1.1.176.8032
10.1.1.211.6636
10.1.1.491.337
10.1.1.261.388
10.1.1.482.5900 WOS:000240542600102
10.1.1.341.4792 WOS:000171894700015
10.1.1.113.8718
10.1.1.873.5029
10.1.1.576.7497
10.1.1.849.7656 WOS:000332708900004
10.1.1.288.4296
10.1.1.1034.3470
10.1.1.97.569 WOS:000245511800017
10.1.1.664.9191 WOS:000347477100012
10.1.1.19.5749
10.1.1.917.7086 WOS:000222885500028
10.1.1.1001.2913 WOS:A1990CV55400021
10.1.1.570.824
10.1.1.917.2141
10.1.1.803.258 WOS:000361790200054
10.1.1.864.2243
10.1.1.845.1296 WOS:000311798000008
10.1.1.511.8060
10.1.1.308.3642
10.1.1.519.926 WOS:000249232000013
10.1.1.380.3783
10.1.1.888.4345
10.1.1.538.9064 WOS:000271728900007
10.1.1.100.611 WOS:A1995RA28400004
10.1.1.19.513
10.1.1.549.1947
10.1.1.211.1375
10.1.1.513.4729
10.1.1.218.6348
10.1.1.869.686 WOS:000345222900005
10.1.1.748.4644 WOS:000305463400005
10.1.1.546.4299
10.1.1.843.4532
10.1.1.107.3976
10.1.1.284.9389
10.1.1.848.1313 WOS:000224795700061
10.1.1.535.2976
10.1.1.265.3890 WOS:000078576600049
10.1.1.1027.1546
10.1.1.126.6218
10.1.1.656.8046
10.1.1.218.5015
10.1.1.452.983
10.1.1.300.8622 WOS:A1992JD40700001
10.1.1.512.4737
10.1.1.391.7929 WOS:000167683700013
10.1.1.261.7116 WOS:000086975000052
10.1.1.247.7994 WOS:000261151600001
10.1.1.4.6165 WOS:000085604100004
10.1.1.563.8823 WOS:A1992JH74900059
10.1.1.167.8632 WOS:000274312800007
10.1.1.45.1485 WOS:000086890900005
10.1.1.64.5155 WOS:000229683100001
10.1.1.21.6705
10.1.1.534.5359
10.1.1.437.3844
10.1.1.150.7233
10.1.1.115.8098
10.1.1.172.2151
10.1.1.1029.3557
10.1.1.640.1220
10.1.1.1005.211 WOS:000084589100010
10.1.1.447.486
10.1.1.579.4671 WOS:000246705700004
10.1.1.559.4162
10.1.1.479.4665
10.1.1.460.3888 WOS:000254964700007
10.1.1.8.9245 WOS:000178704000002
10.1.1.519.9973
10.1.1.914.7278 WOS:000277975600006
10.1.1.478.8734 WOS:000329594900013
10.1.1.152.1830 WOS:000246364300002
10.1.1.533.6470 WOS:000073016500009
10.1.1.567.88 WOS:000244154900040
10.1.1.798.2194 WOS:000332830400001
10.1.1.559.4272 WOS:000247316700010
10.1.1.125.6506
10.1.1.851.6358 WOS:A1988N611800009
10.1.1.417.8501
10.1.1.358.5029 WOS:000262510900009
10.1.1.783.7090 WOS:000307351600001
10.1.1.216.604
10.1.1.1028.1387
10.1.1.887.4833
10.1.1.382.1108
10.1.1.456.2991
10.1.1.36.9349
10.1.1.697.8938 WOS:000352354700014
10.1.1.133.938
10.1.1.704.4671 WOS:000226614300043
10.1.1.664.8459
10.1.1.642.9785
10.1.1.214.1845
10.1.1.770.7935
10.1.1.803.192 WOS:000322369100039
10.1.1.198.6588
10.1.1.392.9800
10.1.1.558.3109 WOS:000258695600013
10.1.1.582.3034 WOS:000241970400005
10.1.1.779.2756 WOS:000321094800033
10.1.1.908.3795
10.1.1.498.2057 WOS:000240748700005
10.1.1.689.6721 WOS:000317722700010
10.1.1.335.5907 WOS:000177669300003
10.1.1.772.4143 WOS:000334160900015
10.1.1.907.1292
10.1.1.183.845
10.1.1.572.6310
10.1.1.567.9625 WOS:A1984SP41300008
10.1.1.132.6662
10.1.1.221.2946 WOS:000285052700008
10.1.1.464.3108
10.1.1.231.5895
10.1.1.190.3491
10.1.1.804.5525
10.1.1.472.9949 WOS:000313410300007
10.1.1.220.1287
10.1.1.493.5368
10.1.1.115.2503
10.1.1.750.4092
10.1.1.794.9156 WOS:000344101700001
10.1.1.97.6454
10.1.1.414.2683
10.1.1.6.9160
10.1.1.793.7989
10.1.1.620.7865
10.1.1.257.4837
10.1.1.382.4438
10.1.1.1007.8321
10.1.1.896.4630
10.1.1.285.4356 WOS:A1984SL63900021
10.1.1.343.7072 WOS:A1994PF86600031
10.1.1.703.6999 WOS:000225471200004
10.1.1.904.1408
10.1.1.446.41
10.1.1.519.9071
10.1.1.126.5172
10.1.1.165.9530
10.1.1.624.7390 WOS:000233298600019
10.1.1.432.2414 WOS:000224594300005
10.1.1.218.2956
10.1.1.543.4681
10.1.1.239.8728
10.1.1.313.9290 WOS:000274946500008
10.1.1.410.7860 WOS:000224178300064
10.1.1.174.8768
10.1.1.298.3167 WOS:000318791700002
10.1.1.802.6416 WOS:000317779100001
10.1.1.531.832
10.1.1.529.8650
10.1.1.231.5980
10.1.1.704.532
10.1.1.840.7837
10.1.1.890.7115
10.1.1.599.6890
10.1.1.428.2850
10.1.1.567.631 WOS:000261161600010
10.1.1.832.9679
10.1.1.146.2315 WOS:000085997700013
10.1.1.273.1580 WOS:000071500600015
10.1.1.871.7728
10.1.1.468.285
10.1.1.19.3309
10.1.1.469.3104
10.1.1.582.9036 WOS:000220763400003
10.1.1.912.2726
10.1.1.815.8472 WOS:000361286100001
10.1.1.453.4635
10.1.1.861.6365 WOS:000364475500005
10.1.1.418.6948
10.1.1.534.7610
10.1.1.863.2248
10.1.1.395.3914 WOS:A1973Q379800012
10.1.1.43.7386
10.1.1.880.1129
10.1.1.158.9801 WOS:000179527800058
10.1.1.493.5969 WOS:000265990800005
10.1.1.892.7176 WOS:A19667693000012
10.1.1.570.9352 WOS:000253857400013
10.1.1.728.9776
10.1.1.536.7726 WOS:000263393700005
10.1.1.328.6246
10.1.1.324.1701
10.1.1.321.617 WOS:A1995QC57200003
10.1.1.717.8279
10.1.1.80.6602
10.1.1.786.8276 WOS:000360437700057
10.1.1.246.3711 WOS:000249758500043
10.1.1.7.8520 WOS:000174730700012
10.1.1.58.7410 WOS:000187497900011
10.1.1.832.1835
10.1.1.707.181 WOS:000235074600005
10.1.1.27.787
10.1.1.840.256
10.1.1.588.4640
10.1.1.283.883 WOS:A1997XK46600013
10.1.1.12.5594 WOS:000084319800003
10.1.1.885.3257
10.1.1.73.6511 WOS:000229444500024
10.1.1.338.2934
10.1.1.769.3404 WOS:000309809500005
10.1.1.25.8161
10.1.1.71.5895
10.1.1.853.9367 WOS:000171128300013
10.1.1.380.3237
10.1.1.777.300
10.1.1.22.1095 WOS:000166577500004
10.1.1.126.5655
10.1.1.141.6132
10.1.1.884.3825
10.1.1.835.4088 WOS:000336044500013
10.1.1.326.9747 WOS:000258525500021
10.1.1.897.4939 WOS:A1997WZ01100019
10.1.1.479.6222
10.1.1.436.6314 WOS:000174021600004
10.1.1.664.1147 WOS:000238530200019
10.1.1.823.2770 WOS:000295611100011
10.1.1.85.6053
10.1.1.668.7690
10.1.1.252.8189
10.1.1.620.4870 WOS:000250608800003
10.1.1.188.6912
10.1.1.735.8433
10.1.1.427.2868
10.1.1.180.8922
10.1.1.334.7931 WOS:000243967500005
10.1.1.494.100
10.1.1.395.5674
10.1.1.413.2597
10.1.1.773.6707
10.1.1.912.6928 WOS:000314747900018
10.1.1.451.5822
10.1.1.857.6833 WOS:A1995RD03000027
10.1.1.366.712
10.1.1.620.275 WOS:000277988100014
10.1.1.524.7054
10.1.1.174.9012
10.1.1.748.1064 WOS:000171568000040
10.1.1.173.1462
10.1.1.288.2116 WOS:000297197000009
10.1.1.1018.5267
10.1.1.201.8249
10.1.1.309.1185
10.1.1.660.6900 WOS:000305276400012
10.1.1.167.8267
10.1.1.364.4306
10.1.1.242.8507 WOS:A1995QT23300017
10.1.1.195.3546
10.1.1.442.4788
10.1.1.1032.717
10.1.1.4.8263
10.1.1.754.199 WOS:A1995RC19100055
10.1.1.203.656
10.1.1.924.6775
10.1.1.468.8849 WOS:000240183900020
10.1.1.188.2885
10.1.1.361.3997
